billing_id,Customer_Id,billing_date,due_date,payment_date,bill_amount
TEL-1013802,9PIZAH6ZLP,2/13/2021,3/10/2021,3/8/2021,208
TEL-1000015,7GDVQELUXG,4/6/2022,5/1/2022,4/13/2022,287
TEL-1000301,7GDVQELUXG,9/20/2021,10/15/2021,10/6/2021,128
TEL-1000016,GIY5E8PQX3,3/25/2021,4/19/2021,4/21/2021,31
TEL-1008313,GIY5E8PQX3,7/29/2021,8/23/2021,8/23/2021,11
TEL-1008996,GIY5E8PQX3,5/25/2021,6/19/2021,6/24/2021,236
TEL-1013531,GIY5E8PQX3,3/6/2022,3/31/2022,3/17/2022,155
TEL-1014829,GIY5E8PQX3,6/21/2021,7/16/2021,7/25/2021,69
TEL-1000017,AIKUW6J4OS,1/7/2022,2/1/2022,2/19/2022,243
TEL-1009473,AIKUW6J4OS,7/29/2021,8/23/2021,9/6/2021,297
TEL-1010899,AIKUW6J4OS,7/18/2022,8/12/2022,7/26/2022,85
TEL-1000018,8Z48P6I6B1,9/24/2022,10/19/2022,10/21/2022,156
TEL-1002137,8Z48P6I6B1,12/4/2021,12/29/2021,12/19/2021,249
TEL-1005200,8Z48P6I6B1,8/19/2021,9/13/2021,9/12/2021,87
TEL-1000019,HUB3YUQR01,4/26/2022,5/21/2022,6/5/2022,135
TEL-1012548,HUB3YUQR01,9/2/2022,9/27/2022,9/15/2022,202
TEL-1000020,GXFBT4Z6QF,8/9/2022,9/3/2022,8/20/2022,222
TEL-1002845,GXFBT4Z6QF,4/9/2021,5/4/2021,5/28/2021,150
TEL-1007298,GXFBT4Z6QF,5/7/2022,6/1/2022,6/8/2022,279
TEL-1000021,PX86425J0O,12/31/2021,1/25/2022,1/13/2022,290
TEL-1001561,PX86425J0O,3/5/2021,3/30/2021,3/20/2021,379
TEL-1003355,PX86425J0O,4/26/2021,5/21/2021,6/13/2021,272
TEL-1003608,PX86425J0O,9/5/2022,9/30/2022,10/23/2022,424
TEL-1006749,PX86425J0O,10/6/2022,10/31/2022,11/3/2022,356
TEL-1013164,PX86425J0O,1/11/2021,2/5/2021,1/28/2021,336
TEL-1000022,GK1ZLVCAQ7,4/11/2022,5/6/2022,5/4/2022,37
TEL-1007431,GK1ZLVCAQ7,2/5/2022,3/2/2022,3/9/2022,140
TEL-1007626,GK1ZLVCAQ7,1/7/2022,2/1/2022,2/1/2022,233
TEL-1000023,7OO0SOC33W,3/28/2021,4/22/2021,4/22/2021,295
TEL-1000160,7OO0SOC33W,4/9/2021,5/4/2021,5/27/2021,446
TEL-1000786,7OO0SOC33W,7/28/2021,8/22/2021,9/5/2021,429
TEL-1000807,7OO0SOC33W,12/2/2022,12/27/2022,12/15/2022,371
TEL-1001296,7OO0SOC33W,8/30/2022,9/24/2022,9/8/2022,309
TEL-1010131,7OO0SOC33W,1/11/2021,2/5/2021,2/13/2021,257
TEL-1013984,7OO0SOC33W,12/26/2022,1/20/2023,2/7/2023,425
TEL-1000024,1CJY5K1M7M,9/22/2021,10/17/2021,10/8/2021,250
TEL-1005778,1CJY5K1M7M,8/17/2022,9/11/2022,9/30/2022,152
TEL-1012338,1CJY5K1M7M,2/7/2021,3/4/2021,2/7/2021,66
TEL-1012758,1CJY5K1M7M,1/17/2022,2/11/2022,3/3/2022,167
TEL-1000025,4UVMMP776A,8/25/2022,9/19/2022,8/26/2022,204
TEL-1000026,C3Y625BAPH,12/14/2021,1/8/2022,1/15/2022,227
TEL-1000628,C3Y625BAPH,5/16/2021,6/10/2021,5/31/2021,227
TEL-1004812,C3Y625BAPH,8/6/2022,8/31/2022,9/16/2022,246
TEL-1007532,C3Y625BAPH,2/4/2021,3/1/2021,2/17/2021,81
TEL-1000027,764QBB7L43,8/12/2021,9/6/2021,9/2/2021,125
TEL-1003526,764QBB7L43,1/8/2022,2/2/2022,2/17/2022,225
TEL-1005962,764QBB7L43,1/5/2022,1/30/2022,1/26/2022,284
TEL-1007819,764QBB7L43,10/3/2021,10/28/2021,10/13/2021,53
TEL-1010661,764QBB7L43,10/14/2022,11/8/2022,10/29/2022,36
TEL-1014462,764QBB7L43,12/25/2022,1/19/2023,2/4/2023,39
TEL-1014536,764QBB7L43,6/17/2022,7/12/2022,7/22/2022,255
TEL-1000028,BRXPY4FY8W,10/31/2021,11/25/2021,12/17/2021,132
TEL-1000029,ESKENU8K0B,8/3/2021,8/28/2021,9/21/2021,201
TEL-1007919,ESKENU8K0B,10/27/2021,11/21/2021,11/28/2021,193
TEL-1009207,ESKENU8K0B,12/11/2021,1/5/2022,1/23/2022,156
TEL-1010605,ESKENU8K0B,11/1/2022,11/26/2022,11/29/2022,138
TEL-1000030,0EZRWG2V2R,11/2/2021,11/27/2021,12/9/2021,141
TEL-1003074,0EZRWG2V2R,3/30/2021,4/24/2021,4/8/2021,200
TEL-1005477,0EZRWG2V2R,4/28/2022,5/23/2022,6/15/2022,99
TEL-1010306,0EZRWG2V2R,8/25/2022,9/19/2022,9/13/2022,150
TEL-1000031,G8QIYSJ34J,10/16/2021,11/10/2021,11/3/2021,136
TEL-1000266,G8QIYSJ34J,3/10/2021,4/4/2021,4/28/2021,259
TEL-1006562,G8QIYSJ34J,2/28/2022,3/25/2022,4/8/2022,109
TEL-1011487,G8QIYSJ34J,8/5/2022,8/30/2022,8/17/2022,184
TEL-1000032,YRYV6E0H7G,9/8/2021,10/3/2021,9/30/2021,73
TEL-1000285,YRYV6E0H7G,5/6/2021,5/31/2021,5/20/2021,152
TEL-1004827,YRYV6E0H7G,10/18/2022,11/12/2022,11/16/2022,153
TEL-1013589,YRYV6E0H7G,4/18/2021,5/13/2021,5/27/2021,276
TEL-1000033,WQXPWV9M5U,1/12/2022,2/6/2022,1/12/2022,234
TEL-1011865,WQXPWV9M5U,1/12/2022,2/6/2022,1/23/2022,28
TEL-1000034,MXW9IE64UD,12/13/2022,1/7/2023,1/26/2023,186
TEL-1001633,MXW9IE64UD,1/28/2022,2/22/2022,2/12/2022,72
TEL-1013449,MXW9IE64UD,3/26/2021,4/20/2021,3/28/2021,193
TEL-1000035,4KE53BA16T,12/9/2021,1/3/2022,12/15/2021,75
TEL-1001400,4KE53BA16T,8/4/2022,8/29/2022,9/10/2022,162
TEL-1011341,4KE53BA16T,12/25/2022,1/19/2023,12/26/2022,42
TEL-1000036,3NPTM187DX,10/13/2021,11/7/2021,11/18/2021,233
TEL-1006981,3NPTM187DX,1/28/2022,2/22/2022,2/17/2022,239
TEL-1000037,BFST809Z43,2/12/2021,3/9/2021,2/16/2021,40
TEL-1000304,BFST809Z43,12/1/2021,12/26/2021,1/7/2022,140
TEL-1008604,BFST809Z43,1/6/2022,1/31/2022,1/6/2022,141
TEL-1011595,BFST809Z43,6/17/2021,7/12/2021,7/8/2021,78
TEL-1000038,NG04KPKQNK,1/30/2021,2/24/2021,2/13/2021,209
TEL-1000039,BKMTXYVB36,12/11/2021,1/5/2022,12/29/2021,120
TEL-1000040,ZLTO4ESQ6T,12/22/2021,1/16/2022,1/20/2022,298
TEL-1001835,ZLTO4ESQ6T,2/5/2022,3/2/2022,3/13/2022,243
TEL-1012838,ZLTO4ESQ6T,7/2/2022,7/27/2022,7/20/2022,243
TEL-1014685,ZLTO4ESQ6T,8/24/2022,9/18/2022,9/20/2022,226
TEL-1000041,4BSAXDXX8U,7/25/2021,8/19/2021,9/8/2021,397
TEL-1001388,4BSAXDXX8U,10/3/2021,10/28/2021,10/12/2021,374
TEL-1002183,4BSAXDXX8U,10/31/2022,11/25/2022,12/12/2022,480
TEL-1000042,OFXGBEN9P6,11/29/2022,12/24/2022,12/23/2022,378
TEL-1005950,OFXGBEN9P6,3/20/2022,4/14/2022,4/17/2022,430
TEL-1012686,OFXGBEN9P6,12/1/2021,12/26/2021,12/21/2021,451
TEL-1013650,OFXGBEN9P6,3/31/2021,4/25/2021,5/7/2021,347
TEL-1000043,SHRYFDDDSS,5/5/2021,5/30/2021,6/8/2021,290
TEL-1000817,SHRYFDDDSS,4/11/2021,5/6/2021,5/2/2021,164
TEL-1003774,SHRYFDDDSS,5/24/2021,6/18/2021,6/27/2021,238
TEL-1010161,SHRYFDDDSS,5/27/2021,6/21/2021,5/28/2021,150
TEL-1010701,SHRYFDDDSS,10/10/2021,11/4/2021,11/20/2021,290
TEL-1013901,SHRYFDDDSS,6/6/2022,7/1/2022,6/29/2022,208
TEL-1014221,SHRYFDDDSS,3/21/2021,4/15/2021,5/1/2021,199
TEL-1014522,SHRYFDDDSS,10/10/2021,11/4/2021,11/22/2021,224
TEL-1000044,NNJF5K5723,6/15/2022,7/10/2022,7/8/2022,126
TEL-1006438,NNJF5K5723,10/12/2021,11/6/2021,10/29/2021,80
TEL-1012792,NNJF5K5723,8/6/2021,8/31/2021,8/11/2021,157
TEL-1000045,ZJUFPXG1IY,3/21/2021,4/15/2021,4/24/2021,171
TEL-1000127,ZJUFPXG1IY,3/26/2021,4/20/2021,4/15/2021,191
TEL-1001828,ZJUFPXG1IY,6/9/2022,7/4/2022,6/12/2022,272
TEL-1005305,ZJUFPXG1IY,3/17/2021,4/11/2021,4/3/2021,223
TEL-1006566,ZJUFPXG1IY,1/22/2021,2/16/2021,1/31/2021,217
TEL-1009611,ZJUFPXG1IY,1/19/2022,2/13/2022,2/4/2022,290
TEL-1009876,ZJUFPXG1IY,12/28/2021,1/22/2022,1/21/2022,110
TEL-1012962,ZJUFPXG1IY,7/24/2021,8/18/2021,8/30/2021,279
TEL-1014735,ZJUFPXG1IY,5/17/2022,6/11/2022,5/28/2022,211
TEL-1000046,HQDFMZ4X0C,12/11/2021,1/5/2022,1/27/2022,118
TEL-1000052,HQDFMZ4X0C,4/1/2022,4/26/2022,4/8/2022,25
TEL-1001606,HQDFMZ4X0C,1/7/2021,2/1/2021,2/6/2021,106
TEL-1010874,HQDFMZ4X0C,5/2/2021,5/27/2021,5/25/2021,181
TEL-1014328,HQDFMZ4X0C,3/25/2022,4/19/2022,5/11/2022,247
TEL-1014912,HQDFMZ4X0C,1/15/2021,2/9/2021,2/27/2021,128
TEL-1000047,YLBBTTXX43,11/18/2022,12/13/2022,12/12/2022,121
TEL-1000048,PSO6JCSSU8,2/27/2022,3/24/2022,2/27/2022,32
TEL-1005356,PSO6JCSSU8,8/13/2022,9/7/2022,9/28/2022,191
TEL-1000049,FOL1M5WJOT,10/26/2022,11/20/2022,11/19/2022,401
TEL-1002409,FOL1M5WJOT,3/26/2021,4/20/2021,4/19/2021,325
TEL-1002696,FOL1M5WJOT,9/30/2021,10/25/2021,10/13/2021,474
TEL-1012698,FOL1M5WJOT,3/15/2022,4/9/2022,4/22/2022,453
TEL-1000050,IDDTVNWCZH,8/20/2022,9/14/2022,9/20/2022,105
TEL-1002218,IDDTVNWCZH,10/13/2022,11/7/2022,10/23/2022,206
TEL-1003796,IDDTVNWCZH,6/20/2021,7/15/2021,8/3/2021,104
TEL-1005530,IDDTVNWCZH,8/8/2021,9/2/2021,9/21/2021,120
TEL-1010907,IDDTVNWCZH,5/2/2022,5/27/2022,5/23/2022,252
TEL-1000051,H1XUHYVZDQ,9/16/2022,10/11/2022,10/25/2022,15
TEL-1002879,H1XUHYVZDQ,1/14/2022,2/8/2022,2/12/2022,296
TEL-1005189,H1XUHYVZDQ,10/7/2022,11/1/2022,10/9/2022,89
TEL-1013617,H1XUHYVZDQ,3/24/2022,4/18/2022,4/29/2022,99
TEL-1000053,LEU13JJNKU,10/31/2022,11/25/2022,12/10/2022,220
TEL-1000149,LEU13JJNKU,1/5/2022,1/30/2022,2/20/2022,62
TEL-1008201,LEU13JJNKU,11/1/2022,11/26/2022,12/13/2022,243
TEL-1000054,62KEF2L6A7,7/4/2022,7/29/2022,7/17/2022,119
TEL-1000055,GHI1M078G9,11/21/2022,12/16/2022,11/27/2022,268
TEL-1002154,GHI1M078G9,3/10/2022,4/4/2022,3/28/2022,34
TEL-1000056,R3WQ5URODZ,4/25/2021,5/20/2021,6/5/2021,182
TEL-1000631,R3WQ5URODZ,8/27/2022,9/21/2022,9/23/2022,97
TEL-1010578,R3WQ5URODZ,2/20/2021,3/17/2021,3/15/2021,23
TEL-1000057,Q14Y4BJJGQ,8/21/2021,9/15/2021,8/21/2021,283
TEL-1001922,Q14Y4BJJGQ,1/18/2022,2/12/2022,3/4/2022,54
TEL-1002116,Q14Y4BJJGQ,4/17/2021,5/12/2021,5/16/2021,280
TEL-1006152,Q14Y4BJJGQ,10/30/2021,11/24/2021,11/18/2021,179
TEL-1009111,Q14Y4BJJGQ,4/7/2022,5/2/2022,4/21/2022,250
TEL-1000058,Z8YGCIZKRM,9/30/2021,10/25/2021,10/2/2021,179
TEL-1010695,Z8YGCIZKRM,1/24/2021,2/18/2021,2/4/2021,222
TEL-1000059,SN9ERD4AMQ,5/26/2021,6/20/2021,5/30/2021,115
TEL-1002126,SN9ERD4AMQ,10/8/2022,11/2/2022,11/1/2022,162
TEL-1000060,FDYDB2WDYO,3/9/2022,4/3/2022,4/11/2022,222
TEL-1009494,FDYDB2WDYO,2/20/2021,3/17/2021,4/6/2021,291
TEL-1009755,FDYDB2WDYO,10/25/2021,11/19/2021,11/18/2021,173
TEL-1000061,PWO8OCN1FJ,3/24/2021,4/18/2021,4/25/2021,233
TEL-1000062,C88P9VJSQ0,11/3/2022,11/28/2022,12/14/2022,256
TEL-1000673,C88P9VJSQ0,11/9/2021,12/4/2021,12/18/2021,156
TEL-1005959,C88P9VJSQ0,8/26/2022,9/20/2022,9/20/2022,275
TEL-1007225,C88P9VJSQ0,3/17/2022,4/11/2022,3/28/2022,164
TEL-1000063,8JY7GPI9UM,3/12/2021,4/6/2021,4/26/2021,261
TEL-1000257,8JY7GPI9UM,1/25/2022,2/19/2022,1/29/2022,29
TEL-1001207,8JY7GPI9UM,9/1/2021,9/26/2021,9/16/2021,152
TEL-1008442,8JY7GPI9UM,5/5/2022,5/30/2022,5/24/2022,123
TEL-1009332,8JY7GPI9UM,1/26/2022,2/20/2022,2/15/2022,11
TEL-1009627,8JY7GPI9UM,7/14/2022,8/8/2022,8/9/2022,234
TEL-1009883,8JY7GPI9UM,6/20/2022,7/15/2022,6/20/2022,139
TEL-1009915,8JY7GPI9UM,12/4/2021,12/29/2021,1/19/2022,17
TEL-1000064,IVLPO3TGY7,10/4/2022,10/29/2022,11/15/2022,172
TEL-1005945,IVLPO3TGY7,4/29/2022,5/24/2022,5/8/2022,212
TEL-1008459,IVLPO3TGY7,2/5/2021,3/2/2021,2/22/2021,124
TEL-1009040,IVLPO3TGY7,4/2/2021,4/27/2021,4/12/2021,174
TEL-1000065,1WY6405VNO,8/19/2021,9/13/2021,9/1/2021,243
TEL-1001631,1WY6405VNO,12/10/2022,1/4/2023,1/15/2023,291
TEL-1007152,1WY6405VNO,6/23/2022,7/18/2022,7/20/2022,112
TEL-1000066,PH3T0DLDYW,5/11/2021,6/5/2021,6/9/2021,744
TEL-1002097,PH3T0DLDYW,4/14/2021,5/9/2021,4/30/2021,527
TEL-1013988,PH3T0DLDYW,9/11/2021,10/6/2021,10/2/2021,661
TEL-1000067,4SDLU9BYW1,3/15/2022,4/9/2022,4/22/2022,730
TEL-1009178,4SDLU9BYW1,2/11/2021,3/8/2021,3/11/2021,595
TEL-1011558,4SDLU9BYW1,7/6/2022,7/31/2022,7/6/2022,572
TEL-1013675,4SDLU9BYW1,1/12/2022,2/6/2022,2/11/2022,455
TEL-1000068,IOG5MDM4UN,8/25/2022,9/19/2022,10/11/2022,226
TEL-1000069,NJUILY2FOQ,9/11/2021,10/6/2021,10/26/2021,227
TEL-1003229,NJUILY2FOQ,8/7/2022,9/1/2022,8/29/2022,134
TEL-1011149,NJUILY2FOQ,1/1/2022,1/26/2022,2/12/2022,71
TEL-1012856,NJUILY2FOQ,5/12/2022,6/6/2022,6/12/2022,91
TEL-1000070,E29W2GP9YH,10/26/2021,11/20/2021,11/2/2021,542
TEL-1002551,E29W2GP9YH,1/1/2022,1/26/2022,1/9/2022,754
TEL-1000071,IPQACGUJ9A,4/23/2021,5/18/2021,6/4/2021,276
TEL-1006910,IPQACGUJ9A,10/5/2021,10/30/2021,10/14/2021,281
TEL-1009057,IPQACGUJ9A,4/28/2022,5/23/2022,5/13/2022,193
TEL-1000072,1YOIEX0YCN,3/21/2021,4/15/2021,4/24/2021,150
TEL-1014315,1YOIEX0YCN,12/22/2022,1/16/2023,1/31/2023,181
TEL-1000073,YE3DK9HJZO,12/30/2022,1/24/2023,1/22/2023,168
TEL-1000606,YE3DK9HJZO,9/26/2021,10/21/2021,10/27/2021,16
TEL-1007208,YE3DK9HJZO,11/17/2022,12/12/2022,12/28/2022,68
TEL-1000074,8XP8ZWLK0I,9/15/2022,10/10/2022,10/31/2022,297
TEL-1000252,8XP8ZWLK0I,11/19/2021,12/14/2021,11/23/2021,200
TEL-1000815,8XP8ZWLK0I,7/15/2022,8/9/2022,8/12/2022,46
TEL-1001287,8XP8ZWLK0I,7/29/2021,8/23/2021,8/22/2021,26
TEL-1002108,8XP8ZWLK0I,12/11/2021,1/5/2022,1/17/2022,153
TEL-1006051,8XP8ZWLK0I,11/15/2022,12/10/2022,11/15/2022,65
TEL-1013557,8XP8ZWLK0I,9/7/2021,10/2/2021,9/28/2021,107
TEL-1000075,1V4NZ9F7O0,5/4/2021,5/29/2021,5/23/2021,229
TEL-1007041,1V4NZ9F7O0,12/2/2021,12/27/2021,1/4/2022,114
TEL-1011257,1V4NZ9F7O0,4/7/2022,5/2/2022,5/11/2022,266
TEL-1011590,1V4NZ9F7O0,4/11/2022,5/6/2022,4/12/2022,250
TEL-1012433,1V4NZ9F7O0,4/14/2021,5/9/2021,5/19/2021,12
TEL-1000076,HT761HUJYR,10/27/2021,11/21/2021,11/25/2021,288
TEL-1001780,HT761HUJYR,5/12/2021,6/6/2021,5/21/2021,183
TEL-1008609,HT761HUJYR,1/13/2022,2/7/2022,2/18/2022,14
TEL-1010372,HT761HUJYR,6/19/2021,7/14/2021,7/15/2021,152
TEL-1000077,VRBGSRNNJ5,5/10/2021,6/4/2021,5/20/2021,87
TEL-1002327,VRBGSRNNJ5,11/14/2021,12/9/2021,11/25/2021,221
TEL-1006206,VRBGSRNNJ5,11/29/2021,12/24/2021,12/4/2021,85
TEL-1008473,VRBGSRNNJ5,3/17/2022,4/11/2022,4/25/2022,10
TEL-1009657,VRBGSRNNJ5,11/11/2022,12/6/2022,12/28/2022,23
TEL-1000078,OFSBQ2YZGE,12/31/2021,1/25/2022,2/6/2022,95
TEL-1007143,OFSBQ2YZGE,6/22/2022,7/17/2022,7/10/2022,62
TEL-1000079,YC89ZT339X,6/25/2022,7/20/2022,8/10/2022,141
TEL-1012718,YC89ZT339X,6/12/2022,7/7/2022,7/22/2022,152
TEL-1014706,YC89ZT339X,6/1/2021,6/26/2021,6/21/2021,154
TEL-1000080,KXGA8SKWE8,7/5/2021,7/30/2021,8/18/2021,160
TEL-1009845,KXGA8SKWE8,3/22/2022,4/16/2022,4/18/2022,129
TEL-1000081,B67SC2B6QN,11/16/2022,12/11/2022,11/16/2022,78
TEL-1002900,B67SC2B6QN,3/13/2021,4/7/2021,4/9/2021,80
TEL-1005381,B67SC2B6QN,3/20/2022,4/14/2022,3/21/2022,133
TEL-1000082,K4NEJM56RN,1/21/2022,2/15/2022,2/14/2022,16
TEL-1006348,K4NEJM56RN,8/26/2022,9/20/2022,8/28/2022,60
TEL-1007019,K4NEJM56RN,9/12/2022,10/7/2022,10/11/2022,258
TEL-1013433,K4NEJM56RN,10/8/2021,11/2/2021,10/9/2021,280
TEL-1000083,NP6YYU2JJK,11/7/2022,12/2/2022,12/17/2022,280
TEL-1005357,NP6YYU2JJK,10/14/2021,11/8/2021,11/21/2021,83
TEL-1000084,GO97905K92,7/24/2021,8/18/2021,8/26/2021,261
TEL-1002945,GO97905K92,9/9/2021,10/4/2021,10/27/2021,258
TEL-1010570,GO97905K92,7/4/2021,7/29/2021,7/21/2021,122
TEL-1000085,X5Y8H23APY,8/10/2021,9/4/2021,8/16/2021,173
TEL-1000968,X5Y8H23APY,10/21/2021,11/15/2021,10/23/2021,261
TEL-1001821,X5Y8H23APY,5/6/2022,5/31/2022,6/6/2022,157
TEL-1002372,X5Y8H23APY,3/12/2021,4/6/2021,4/4/2021,157
TEL-1003687,X5Y8H23APY,2/24/2022,3/21/2022,3/3/2022,275
TEL-1006274,X5Y8H23APY,3/23/2022,4/17/2022,5/2/2022,14
TEL-1007342,X5Y8H23APY,4/16/2021,5/11/2021,6/3/2021,246
TEL-1000086,0MFVDXQCM0,10/24/2021,11/18/2021,11/8/2021,92
TEL-1002547,0MFVDXQCM0,1/14/2022,2/8/2022,2/11/2022,12
TEL-1006251,0MFVDXQCM0,10/1/2022,10/26/2022,10/28/2022,53
TEL-1013150,0MFVDXQCM0,2/28/2021,3/25/2021,4/10/2021,68
TEL-1013781,0MFVDXQCM0,11/26/2021,12/21/2021,12/6/2021,43
TEL-1000087,BD4H1TFZ5S,7/16/2022,8/10/2022,8/16/2022,118
TEL-1004286,BD4H1TFZ5S,8/10/2022,9/4/2022,9/14/2022,19
TEL-1006756,BD4H1TFZ5S,6/13/2022,7/8/2022,7/23/2022,232
TEL-1013674,BD4H1TFZ5S,12/30/2022,1/24/2023,1/19/2023,79
TEL-1014339,BD4H1TFZ5S,4/16/2022,5/11/2022,4/29/2022,98
TEL-1000088,RMM84HYMC1,8/1/2021,8/26/2021,9/19/2021,106
TEL-1002414,RMM84HYMC1,3/25/2022,4/19/2022,4/15/2022,261
TEL-1003784,RMM84HYMC1,7/8/2021,8/2/2021,8/17/2021,117
TEL-1006913,RMM84HYMC1,9/20/2021,10/15/2021,9/21/2021,201
TEL-1007201,RMM84HYMC1,5/31/2021,6/25/2021,5/31/2021,238
TEL-1014587,RMM84HYMC1,3/30/2022,4/24/2022,5/4/2022,99
TEL-1000089,EARPOONHV8,11/25/2022,12/20/2022,1/9/2023,299
TEL-1000861,EARPOONHV8,2/9/2022,3/6/2022,2/10/2022,203
TEL-1001810,EARPOONHV8,9/23/2022,10/18/2022,9/28/2022,122
TEL-1008477,EARPOONHV8,10/1/2021,10/26/2021,11/11/2021,140
TEL-1013389,EARPOONHV8,4/16/2021,5/11/2021,6/1/2021,62
TEL-1000090,F8ZF1QDAUO,12/7/2021,1/1/2022,12/16/2021,92
TEL-1002162,F8ZF1QDAUO,5/6/2021,5/31/2021,6/17/2021,26
TEL-1006380,F8ZF1QDAUO,7/12/2022,8/6/2022,7/25/2022,183
TEL-1000091,I7Y0GCHR4L,10/2/2022,10/27/2022,11/10/2022,47
TEL-1000973,I7Y0GCHR4L,3/29/2022,4/23/2022,5/2/2022,226
TEL-1002393,I7Y0GCHR4L,9/19/2022,10/14/2022,10/2/2022,216
TEL-1009220,I7Y0GCHR4L,10/11/2022,11/5/2022,11/18/2022,147
TEL-1000092,BJQJFB0B1D,10/19/2021,11/13/2021,12/2/2021,104
TEL-1001489,BJQJFB0B1D,4/1/2022,4/26/2022,4/30/2022,99
TEL-1000093,0X2QQDNGHX,2/8/2022,3/5/2022,2/24/2022,132
TEL-1011113,0X2QQDNGHX,8/22/2021,9/16/2021,9/10/2021,252
