Customer_id,imei_tac,brand_name,model_name,os_name,os_vendor
9GL7EU704W,d8244279afc0a91870a481c6a097710f,SAMSUNG,METRO (SM-B313ED),Samsung OS,Samsung
NAW05TMETP,dd2c2a9abdcf1665c53f32dbb5cb386b,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
RJK5F7XAFL,d03a7ab9f7e78b3cba4f719a740cf139,SYMPHONY,P6,Android,Google
MKFN5L089M,63497efe88a050a2c4bf33d563d21172,SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
3K471GEE76,25307c186dfcd86916eaae1a88239369,WINMAX,MH23,,
42WLLJOLVZ,7664583ddfadb8d4f537ccedaed08186,SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
TF537LO3MF,a935bac4997d19c79a8d6d7f5d0a6f93,,,,
POKX7MVPH4,dc93459f86a43d0b30566b7abb0e3168,SYMPHONY,"B16, T49, ZV, BL55, T8PRO",Android,Google
4D2LLAUH3P,3bea3687d1bae1016df6e16bc87c39a1,MICROMAX,X088 PLUS,,
DFLFN60ZC1,ad64368ee3ee572f421dc2029b5766c4,WALTON,OLVIO L7,,
G8QCH6IJ9F,46dab02125a8d1a5ca4dade98684d470,NOKIA,1100,Symbian OS,Symbian
UPUC2MB2FX,6cd2b1e50c16a4627285aeddeec45377,SYMPHONY,"B11, L30, D31",Proprietary OS,Proprietary OS
UWOVBFJEO7,82fad2455ea7a7476d581129b9ddb1d3,SYMPHONY,V42,,
XI89GG8YN3,cd1736f75ef6a8ffff1a02107924a1cc,G-PHONE,GP21,,
OXRR40ARJN,41c31b1cc40bbacf0fc5dc57a7cc38a1,SAMSUNG,GALAXY CORE PRIME (SM-G360H),Android,Google
2FE7XSS98K,690eafa3fc0f4ee64de91288d39dfd93,NOKIA,215 DUAL SIM,Symbian OS,Symbian
O5ELLUQUJC,ad64368ee3ee572f421dc2029b5766c4,WALTON,OLVIO L7,,
QDNTF4Y1WX,8e8053dc411094652657c970e0909a0d,SYMPHONY,T105,,
A6G3TKLJWA,5fc6ae25a554d04bf22b4c71ebd68d22,SAMSUNG,GALAXY J5 2016 (SM-J510F DS),Android,Google
8OUHV65MHN,f2a1f5abed7f58d125cac0ae1fbac437,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
IWZ1Z3F2E9,5e264d98804664d75078f9b4bfbdf280,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
QFP3J31AWU,535b5c3dbc2f2acb8c2fd834b9b6ce8a,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
36R638H1C6,3441664490dce5d77ed39b819bf4387c,SAMSUNG,"GALAXY S DUOS (GT-S7562,GT-S7566)",Android,Google
LUJ6U4H4XN,0717d6a82bafa4d20c4c26fa9b43cd02,MOTOROLA,MOTO E (4TH GEN),Android,Google
PLBBR50ZMU,f1c07d410dbd05d1ae0a8367170435c9,XIAOMI,MI A2 LITE (M1805D1SG),Android,Google
8LP7C3RVF0,b6ef9b4ab2d433948184e75267445a60,HUAWEI,Y3II (LUA-U22),Android,Google
9O1SIK65M8,76752ba00c3bc923b1b8f1d9c126fd2b,SYMPHONY,R20,Android,Google
W113LS3Q5K,c6da9c79b1355c512936627200d2a411,SAMSUNG,GALAXY J7 PRIME2 (SM-G611F DS),Android,Google
VQ3RGOEI5Z,619ad2b96db927fbdf44a488894ad248,SYMPHONY,"T80, S200, W14, M44",Proprietary OS,Proprietary OS
WM28KQHYTV,be72759939640427b4c9c350a689c52b,SYMPHONY,V75,Android,Google
O7EOMJI1D5,95721c2f55e4ee58e86a12de330d5d7b,KECHAO,K66 PLUS,,
W01DNYIOMP,1257d95f7208d593f05e9465f04146ea,SYMPHONY,ROAR V95,,
Q1LT2250S0,4e6e1f4fe6d741ef0e14a13aa833895c,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
9H5ZYPEJU1,f4c7ff4779df46e274ebd214f8daa9a1,HUAWEI,P10 LITE (WAS-LX1A),Android,Google
T6VF77PX46,748521fc6047b48b98123b406f8fd433,SYMPHONY,B12I,,
I06Z56UKJ1,ca772930521b2bfbc83808fe5a9cf660,NOKIA,105 DS (TA-1034),Symbian OS,Symbian
NTSP6TZ2I5,f989b2cda580922776d888c3cce26836,SAMSUNG,GALAXY S9 PLUS (SM-G965F DS),Android,Google
805O3XAKEW,cbcb58b79a7d1b7028ff8cc271e6860e,SYMPHONY,D101,,
TWCZZQ3RI1,9025d7adfc250f6b692ff83fee676c5a,HUAWEI,Y3 (CRO-U00),Android,Google
UEBA2SJ74Y,1b0fb54f288f50f45fae0f6a6dbee36a,NOKIA,108 DUAL SIM (RM-944),Series30,Symbian
HDLZB2UPU8,e2b3cc1f5464ec696f5817c288ebe578,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
PT3R57VJNR,391483644108db7363438aa69b7c6498,SAMSUNG,GALAXY GRAND (GT-I9060I DS),Android,Google
J3SWY6DKN3,9db82d1d29aa619dd3a891fac03b2d61,NOKIA,2610,Symbian OS,Symbian
8I2IH07SAN,fe053b2d6c8ab0da07b1e422e4330668,LAVA,IRIS X9,Android,Google
KF5ZRKA0BA,21569d9b8f1c6ee289b4dfbd41a1cff2,NOKIA,"1280, 1282",Symbian OS,Symbian
AGIR7CSETN,836502880b3c0906c12fb4ef4f7fb206,HUAWEI,NOVA 2I (RNE-L22),Android,Google
UUE29F19QT,542020b1ac420ca23e15125041edb055,NOKIA,130 DS (TA-1017),Proprietary OS,Proprietary OS
H96LQYVK56,1788ef704b266038a6c0a67b74a8bd70,SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
NOA2URNDM9,eb87da58ea1f5b9c0fdae4d308bb42c0,WALTON,OLVIO ML7,,
NJUILY2FOQ,472357714ec6131c1db18838dbb90ac1,KINGSTAR,"M4,X1",,
RJMH9L2QA5,9025d7adfc250f6b692ff83fee676c5a,HUAWEI,Y3 (CRO-U00),Android,Google
S0XWQUTDP6,00fee679f6ac8a4bdd10e211c86ce6d3,SAMSUNG,GALAXY J2 2016 (SM-J210F),Android,Google
JH08P7WCBY,5b72f354188bd0bab3c787600e9005b7,SYMPHONY,M150,,
4ECV50RM5K,13b33317a9f93e755d9284650703b4a6,HUAWEI,ENJOY 5 DUAL SIM TD-LTE (TIT-AL00),Android,Google
GNC3NJ7IXE,1b93d28eab34f728968b9d2ab4be8834,SAMSUNG,GALAXY J7 DUOS LTE (SM-J710FN DD),Android,Google
8UQX1D48GP,e0618a03acd1fa682b8d42bdac7836d5,SYMPHONY,"T100, L22, B14",Proprietary OS,Proprietary OS
APLSQRTWP9,3bea3687d1bae1016df6e16bc87c39a1,MICROMAX,X088 PLUS,,
0M5K21JJ5S,3b8972792853a53a27eecd2c8247c2cc,FIVE STAR,"A101,A102,A103,A104,A105",Proprietary OS,Proprietary OS
K117ZH9O94,c60e1d44a75bec6f66d1d7c53a895804,SAMSUNG,SGH-B110E,Samsung OS,Samsung
4R4GMBNQV3,6ad2cef502a017fb6fc6ca24eb59f3bb,LINNEX ELECTRONICS,LE28 (LINNEX LE28),,
IM548SCWEI,a3bce25ea448ff0aaec9566d43deb18f,SAMSUNG,GALAXY J5 DUOS (SM-J500H DS),Android,Google
ZUOQG73G39,3d869d59c6c3bfacf0108a5202d3e5d1,WALTON,"PRIMO G5, HM, E4, F5, H4",Android,Google
E2GAJSPCTR,c2c55d239eb7d9868abe88e54eb6c46b,SAMSUNG,GALAXY J1 (SM-J110HDS),Android,Google
F4RI2ESKRI,31e9bd461d370ebc7261deb833936774,SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
Z8KNFQFAKJ,40c4a81d30666f647e8be9617b5639a6,SAMSUNG,GALAXY A7 2016 (SM-A710FD DS),Android,Google
E1IC1EOBXZ,b8756e191bbbf539c2d96751e0649194,SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google
9X6IT86SQ7,1a96f892b6b7944555e5e4454f81b1df,SYMPHONY,I60,,
PLG3JF1GK1,51c266c5b805b9dc1438ea58b35eb125,LAVA,IRIS 820,Android,Google
PHU7EAC26Q,20b38a21a3c2b6341bfc53a788ff8f3e,SAMSUNG,GALAXY A7 2016 (SM-A710FD DS),Android,Google
PYI5AK2GM0,019c715f8b8543fdfc2b5b2230a4f2b5,HUAWEI,Y336,Android,Google
Z63QZZP5H6,f6cb438228163a8bb01a118a54bd6a1b,LAVA,IRIS 50,Android,Google
W7YES0G9V9,5f9648949e593d4b277c73d087fccab1,SYMPHONY,"E10, E60, ZVI",Android,Google
G30U0F8N5M,63b0183aeebb6694d5f49f3db005b5de,LG,K10 (K430DSY),Android,Google
2N3GI01H7K,0557bc284635d29723d0c33aead43b66,SYMPHONY,A10,,
3Z5DJTHXJ8,4680d5a6f9dc414c73455a27f8bd46db,NOKIA,3310 DS (TA-1030),Proprietary OS,Proprietary OS
UGTL3EIP61,39fbaac76133aa07c15657dfd19c1bf5,SONYERICSSON,XPERIA Z5 COMPACT TD-LTE (E5823),Android,Google
ZPSQ38KRB7,63497efe88a050a2c4bf33d563d21172,SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
2U7LK65HQ5,d9497a418d49810ba3d53f2ae67e927d,APPLE,IPHONE 6S PLUS (A1687),iOS,Apple
V5Y7M4MVX5,08dff4d42b781bb0791b4c8be4486775,NOKIA,1208,Symbian OS,Symbian
TC1N91HTKM,b4682c8aa97b141c1639060dbe6dcf46,AAMRA,WE T1,Android,Google
JW56H8ZF48,28e370e2fa1670d125f37345126f1fc4,LG,G3 DUAL SIM TD-LTE (D858HK),Android,Google
RSQ8977J65,c11b65d7c4da35ae7ea8182078953df0,SYMPHONY,V110,Android,Google
X6AZ1SJ0RV,7101c874645180354ffdc292d3dc8ce2,OPPO,F3 PLUS (CPH1613),Android,Google
KJSHX9ULI7,9a20ed3062cf1390f24a7497da2a4b0f,RAJON,"FIVESTAR B-56, B-66, B-76, B-86, B-96",BADA,Samsung
V84PK4PWQ9,17ee7ad1f4f2fddde683896d4420a3dc,XIAOMI,REDMI 5A (MCG3B),Android,Google
XPSB758DZR,261181addf07659be6652f4638a94703,SYMPHONY,V85,,
9FP3VQ7J3J,18144e4ea390c34448ff3d0e2fa7dd78,SAMSUNG,GALAXY GRAND PRIME (SM-G530H DV),Android,Google
J3OCTR3DSL,4cb18d6bc609443886396436a5e8f218,NOKIA,2690,Symbian OS,Symbian
KT8D9NFG6Z,e4689599e66e0a454e76a7ae8d67d31a,SAMSUNG,METRO SM-B350ED,Samsung OS,Samsung
VASGWVXYSZ,253c916dbe836085fa2b768812687c94,NOKIA,"ASHA 300, 3000 GRAPHITE",Series40,Symbian
JPBEWKVVQF,d0066bc769feeb55225a63f325ea8370,SAMSUNG,GALAXY FAME (GT-S6810P),Android,Google
Q98R56CB1H,0d182646774c7be4fde310be4346c5f8,XIAOMI,REDMI NOTE 2,Android,Google
18VF06CFLU,5793b3c214e9e68c6af710a1b9c30761,JIN HUI MA,V11,Android,Google
I7YFMDBZFS,8bfbcaa7da0549165389ae31159228b6,SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
F7F504X0I0,382de4619d578d5ce6fffd3d85a18610,SAMSUNG,GALAXY CORE PRIME (SM-G360H),Android,Google
XSUS9ZM39H,00fe8baceebdf297ea146f909f58050a,G-PHONE,"GP14,GP15,GP16,T66,T77",Proprietary OS,Proprietary OS
3RQD76H01J,0e4e6fb3550da3d03c6f3a1c53574c33,SAMSUNG,GALAXY A5 DUOS (SM-A500H DS),Android,Google
UCFCBPOEO8,c3bf309902187578ed18b0ddf22fc6cb,SYMPHONY,H120,Android,Google
XSLPCIUZ7Y,c11b65d7c4da35ae7ea8182078953df0,SYMPHONY,V110,Android,Google
C2PS515S2A,fbb16444bf2d311ce05ea42ec6a5792b,SYMPHONY,"D27, W19, L25",Proprietary OS,Proprietary OS
HB1A6VLY35,da936e2fbc699fd286178b8c7a6af1f0,HUAWEI,Y5II (CUN-L03),Android,Google
A3N65FBDGF,ceac4b994a5b48747c8b6ace866ad3b4,OPPO,F1s (A1601),Android,Google
0A9MSCYM4A,f4b40b4bc78568f40476b9831d411805,SAMSUNG,METRO (SM-B313ED),Samsung OS,Samsung
5ARPBIWEGL,fe0f33e22d17700f2c99ce20d75ac237,SYMPHONY,R30,,
PLE413CEWJ,f2a1f5abed7f58d125cac0ae1fbac437,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
Z9ECG2VHX6,f808678d6fcbdbe67f31d0a046b9badd,LAVA,KKT04 PLUS,,
JDRFIPG8T5,88c1c9423ed3cd434807ea695528b8da,XIAOMI,REDMI NOTE 4 (2016102),Android,Google
E79SFZSZ6N,813d0ab39de4ac5a5515843645c85f99,SAMSUNG,Z1 DUOS (SM-Z130H DS),Tizen,Samsung
TI98K1K4HO,3814a423e3cdb6027053c45156ae038c,SAMSUNG,GALAXY CORE PRIME (SM-G360H),Android,Google
QAFN1NLWLB,5d0c6c9900779386efc1c7318e684a4f,HUAWEI,Y541,Android,Google
GT2J0BPSLG,4e90a0d4c97663817a639a85bf31d8e0,HUAWEI,Y5 (2017),Android,Google
62RCFBSFPK,e7ca3dfd2079f2f6ee3dafd09980e068,OPPO,A57,Android,Google
QWGZC9SR87,399d8aaf001996da375ef6be11038e84,WALTON,"OLVIO ML4, L16, ML5, MM11, MM12",Proprietary OS,Proprietary OS
PVVXK5XKMM,26ad97b543d8ec7944d84ceab3d6ab54,STIL,"SGC-01,SGC-02,SGC-0A,SGC-0B,SGC-0C",Proprietary OS,Proprietary OS
7HCOHUT3SL,51c0465eaa0b245a5446088d5abbec10,WALTON,PRIMO RM3,Android,Google
ONO1LYO05Z,c5dbe1d25ed123ac3f427643dc3e1991,SAMSUNG,GT-E1282T,Samsung OS,Samsung
NYC016YVUJ,3694c118609e7fd038bb0b9e0a457843,SAMSUNG,METRO (SM-B313ED),Samsung OS,Samsung
3UY71WEF8U,f4b40b4bc78568f40476b9831d411805,SAMSUNG,METRO (SM-B313ED),Samsung OS,Samsung
FUR83ZQ3DB,1788ef704b266038a6c0a67b74a8bd70,SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
MZZU8N9SD2,52612488f0e7cc1749dff3fa4969d8ba,TITANIC MOBILE,PHONE T-7,,
PFHOL1Y6IH,a1dd3db65369cc2120251c6dc983ab89,SAMSUNG,GALAXY ON7 PRO (SM-G615F DS),Android,Google
B9Y8VYA9QU,f2e935469f6f334ea17f1ab676c1b217,SYMPHONY,L50,,
V6YT1XXYVO,7f643274f193c5242fb686fa8dbde6fa,NOKIA,220,Series30,Symbian
6KZJLQAG7E,6aa06bb09e7bd64dbb35619b1cb2b4f1,LENOVO,A2010,Android,Google
498ZVOAVCT,a8e113e57482874cd07a4d088b2e2d9f,ITEL,IT5232,,
B67SC2B6QN,d98fa68415dbaeaf70ba1ea546c12ded,NOKIA,107 DUAL SIM,Symbian OS,Symbian
HBB5UGQRSH,3a17976284ec1613d57156a7265e984d,WALTON,OLVIO P10,,
5K1ZO7OJXG,8f26d9de5ddaa4c8ae73f342a3390088,NOKIA,112,Series40,Symbian
IT88WXICSA,5e6f25de8676a2de274ae0a52044aac6,SYMPHONY,L24,,
4TEAMCHSU4,be8601eeba4c31fee79750f4345afd45,HUAWEI,GT3 (NMO-L31),Android,Google
E76JP4XQM5,bbc46d2382c72307438269c8e9bd496f,SAMSUNG,GALAXY J7 DUOS LTE (SM-J700F DH),Android,Google
WGFLB2GZVT,412fd5bc4f19cb18fcd2bdc0a37886a8,SAMSUNG,GALAXY J7 DUOS (SM-J700HDS),Android,Google
XCJTBYOLVC,88d56dcb1dfbeec3980c8df8c913888f,VIVO,1727,Android,Google
Q7LFM6BYYD,fa72974c2beb706153619bf68b287957,SYMPHONY,L65,,
NTS21NH14R,a194792e62b7c7908482a5e52b903cea,NOKIA,5030 XPRESSRADIO,Symbian OS,Symbian
S0CZDCPZMA,7619c6e7daec06cf595f5af623b25a80,SAMSUNG,GALAXY GRAND (GT-I9060I DS),Android,Google
